Action Key,Process ID,Parent ID,Root Stage ID,Stage,Level #,Level Type,Action / Task,RACI Source ID,RACI Source Task,RACI Assignment Type,Responsible,Accountable,Consulted,Informed,Primary Swimlane,Gate,Recommended View,Status,Priority,AppSheet Show?,Original Row
3-3-3,3.3.3,3.3,3,EXECUTION - Start Recruiting,3,Task,Update ATS with new project,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,187
3-3-4,3.3.4,3.3,3,EXECUTION - Start Recruiting,3,Task,Assign positions to recruiting team,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,188
3-3-5,3.3.5,3.3,3,EXECUTION - Start Recruiting,3,Task,Recruit Candidates to Positions,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,189
3-3-6,3.3.6,3.3,3,EXECUTION - Start Recruiting,3,Task,Create Tear sheets,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,190
3-3-6-1,3.3.6.1,3.3.6,3,EXECUTION - Start Recruiting,4,Subtask,Assign Tear sheets to a recruiter,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,191
3-3-6-2,3.3.6.2,3.3.6,3,EXECUTION - Start Recruiting,4,Subtask,Power Dialer Setup by Recruiter,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,192
3-4,3.4,3,3,EXECUTION - Start Recruiting,2,Process,Candidate Search,3.3.1,Notify Recruiter of project and positions,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,193
3-4-1,3.4.1,3.4,3,EXECUTION - Start Recruiting,3,Task,Survey current database,3.4.1,Survey current database,Direct,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,194
3-4-2,3.4.2,3.4,3,EXECUTION - Start Recruiting,3,Task,Pull Report from ATS,3.4.1,Survey current database,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,195
3-4-3,3.4.3,3.4,3,EXECUTION - Start Recruiting,3,Task,Create Survey in Survey Monkey,3.4.1,Survey current database,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,196
3-4-4,3.4.4,3.4,3,EXECUTION - Start Recruiting,3,Task,Update Interest List w/Interested Candidates,3.4.1,Survey current database,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,197
3-4-5,3.4.5,3.4,3,EXECUTION - Start Recruiting,3,Task,Assign Surveyed Candidates to Recruiter,3.4.1,Survey current database,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,198
3-4-6,3.4.6,3.4,3,EXECUTION - Start Recruiting,3,Task,Respond to Survey Candidates,3.4.1,Survey current database,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,199
3-5,3.5,3,3,EXECUTION - Start Recruiting,2,Process,Post Jobs,3.4.1,Survey current database,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,200
3-5-1,3.5.1,3.5,3,EXECUTION - Start Recruiting,3,Task,Create posting on Indeed,3.5.1,Create posting on Indeed,Direct,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,201
3-5-2,3.5.2,3.5,3,EXECUTION - Start Recruiting,3,Task,Creates posting on Zip Recruiter,3.5.1,Create posting on Indeed,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,202
3-5-3,3.5.3,3.5,3,EXECUTION - Start Recruiting,3,Task,Email In Box,3.5.1,Create posting on Indeed,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,203
3-5-3-1,3.5.3.1,3.5.3,3,EXECUTION - Start Recruiting,4,Subtask,"Create rules for HC, AWF, Sec, Licensing",3.5.3.1,"Create rules for HC, AWF, Sec, Licensing",Direct,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,204
3-5-3-2,3.5.3.2,3.5.3,3,EXECUTION - Start Recruiting,4,Subtask,Respond to Emails,3.5.3.1,"Create rules for HC, AWF, Sec, Licensing",Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,205
3-6,3.6,3,3,EXECUTION - Start Recruiting,2,Process,Communications with client,3.5.3.1,"Create rules for HC, AWF, Sec, Licensing",Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,206
3-6-1,3.6.1,3.6,3,EXECUTION - Start Recruiting,3,Task,Daily Scrum Update,3.6.1,Daily Scrum Update,Direct,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,207
3-6-2,3.6.2,3.6,3,EXECUTION - Start Recruiting,3,Task,Weekly Staffing Report,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,208
3-6-3,3.6.3,3.6,3,EXECUTION - Start Recruiting,3,Task,"Weekly Health Card, updates from team",3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,209
3-6-4,3.6.4,3.6,3,EXECUTION - Start Recruiting,3,Task,Updates Weekly Health Card,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,210
3-6-5,3.6.5,3.6,3,EXECUTION - Start Recruiting,3,Task,Weekly Meeting Agenda,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,211
3-6-6,3.6.6,3.6,3,EXECUTION - Start Recruiting,3,Task,Standard Reports,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,212
3-6-7,3.6.7,3.6,3,EXECUTION - Start Recruiting,3,Task,Rooster,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,213
3-6-8,3.6.8,3.6,3,EXECUTION - Start Recruiting,3,Task,Badge Report,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,214
3-6-9,3.6.9,3.6,3,EXECUTION - Start Recruiting,3,Task,Recruiter Metrics,3.6.1,Daily Scrum Update,Inherited,Project Mgt,Director of Operations Staffing,All,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,215
3-7,3.7,3,3,EXECUTION - Start Recruiting,2,Process,Cloud Call Monitoring,3.7,Cloud Call Monitoring,Direct,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,216
3-7-1,3.7.1,3.7,3,EXECUTION - Start Recruiting,3,Task,Call Report,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,217
3-7-2,3.7.2,3.7,3,EXECUTION - Start Recruiting,3,Task,Candidate Report,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,218
3-7-3,3.7.3,3.7,3,EXECUTION - Start Recruiting,3,Task,Incoming Calls,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,219
3-7-4,3.7.4,3.7,3,EXECUTION - Start Recruiting,3,Task,Emails,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,220
3-7-5,3.7.5,3.7,3,EXECUTION - Start Recruiting,3,Task,Web Responses,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,221
3-7-6,3.7.6,3.7,3,EXECUTION - Start Recruiting,3,Task,Submitted Files,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,222
3-7-7,3.7.7,3.7,3,EXECUTION - Start Recruiting,3,Task,Scheduled Candidates,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,223
3-7-8,3.7.8,3.7,3,EXECUTION - Start Recruiting,3,Task,Post Metrics to Teams,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,224
3-7-9,3.7.9,3.7,3,EXECUTION - Start Recruiting,3,Task,Scheduling Candidates,3.7,Cloud Call Monitoring,Inherited,Operations Staffing,Director of Operations Staffing,VP of Ops,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,225
3-8,3.8,3,3,EXECUTION - Start Recruiting,2,Process,Clean Data Daily (Lead),3.8,Clean Data Daily (Lead),Direct,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,226
3-8-1,3.8.1,3.8,3,EXECUTION - Start Recruiting,3,Task,Qualify Candidate on Interest List (Recruiter),3.8,Clean Data Daily (Lead),Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,227
3-8-2,3.8.2,3.8,3,EXECUTION - Start Recruiting,3,Task,Update Candidate Record to Internal Submission,3.8,Clean Data Daily (Lead),Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,228
3-8-3,3.8.3,3.8,3,EXECUTION - Start Recruiting,3,Task,Schedule Candidate (Lead),3.8,Clean Data Daily (Lead),Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,229
3-8-4,3.8.4,3.8,3,EXECUTION - Start Recruiting,3,Task,Update candidate Record to Scheduled,3.8,Clean Data Daily (Lead),Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,230
3-8-5,3.8.5,3.8,3,EXECUTION - Start Recruiting,3,Task,HC: Confirmed / Scheduled Candidates,3.8,Clean Data Daily (Lead),Inherited,Admin Operations,Director of Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,231
3-9,3.9,3,3,EXECUTION - Start Recruiting,2,Process,Send Competency exam to candidate (Lead),3.9,Send Competency exam to candidate (Lead),Direct,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,232
3-9-1,3.9.1,3.9,3,EXECUTION - Start Recruiting,3,Task,Review Candidate records in ATS for file requirements (recruiter),3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,233
3-9-2,3.9.2,3.9,3,EXECUTION - Start Recruiting,3,Task,Send Candidate file requirements needed (recruiter),3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,234
3-9-3,3.9.3,3.9,3,EXECUTION - Start Recruiting,3,Task,Update Schedule w/completed file information (recruiter),3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,235
3-9-4,3.9.4,3.9,3,EXECUTION - Start Recruiting,3,Task,Send Skills Checklist if applicable (recruiter),3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,236
3-9-5,3.9.5,3.9,3,EXECUTION - Start Recruiting,3,Task,Complete Reference Verification (if applicable),3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,237
3-9-6,3.9.6,3.9,3,EXECUTION - Start Recruiting,3,Task,Update Declinations / Waivers if provided,3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,238
3-9-7,3.9.7,3.9,3,EXECUTION - Start Recruiting,3,Task,Security Video Training - more questions,3.9,Send Competency exam to candidate (Lead),Inherited,Admin Operations,Operations Staffing,VP of Ops,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,239
3-10,3.10,3,3,EXECUTION - Start Recruiting,2,Process,HC: Licensing Paid by Client,3.10,HC: Licensing Paid by Client,Direct,Admin Operations,Project Mgt,Sales,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,240
3-11,3.11,3,3,EXECUTION - Start Recruiting,2,Process,Prequalify Candidate for licensing (recruiter),3.11,Prequalify Candidate for licensing (recruiter),Direct,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,241
3-11-1,3.11.1,3.11,3,EXECUTION - Start Recruiting,3,Task,Add Prequalified Candidate to Licensing Tab,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,242
3-11-2,3.11.2,3.11,3,EXECUTION - Start Recruiting,3,Task,Licensing Process or Packet sent to Candidate,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,243
3-11-3,3.11.3,3.11,3,EXECUTION - Start Recruiting,3,Task,Submission through Huffmaster,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,244
3-11-4,3.11.4,3.11,3,EXECUTION - Start Recruiting,3,Task,Notify Accounting of needed payment,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,245
3-11-4-1,3.11.4.1,3.11.4,3,EXECUTION - Start Recruiting,4,Subtask,Generate payment for License,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,246
3-11-4-2,3.11.4.2,3.11.4,3,EXECUTION - Start Recruiting,4,Subtask,Submit Licensing Application w/Payment,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,247
3-11-4-3,3.11.4.3,3.11.4,3,EXECUTION - Start Recruiting,4,Subtask,License # pulled from Board website,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,248
3-11-4-4,3.11.4.4,3.11.4,3,EXECUTION - Start Recruiting,4,Subtask,Update Recruiting document with information,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,249
3-11-4-5,3.11.4.5,3.11.4,3,EXECUTION - Start Recruiting,4,Subtask,Save License in ATS,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,250
3-11-4-6,3.11.4.6,3.11.4,3,EXECUTION - Start Recruiting,4,Subtask,Submission Directly to Board,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,251
3-11-5,3.11.5,3.11,3,EXECUTION - Start Recruiting,3,Task,Candidate submits and Pays Directly,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,252
3-11-5-1,3.11.5.1,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,Candidate forward receipt & license to Huffmaster,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,253
3-11-5-2,3.11.5.2,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,License # pulled from Board website,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,254
3-11-5-3,3.11.5.3,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,Update Recruiting document with information,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,255
3-11-5-4,3.11.5.4,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,Save License in ATS,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,256
3-11-5-5,3.11.5.5,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,Notify Accounting of Needed Reimbursement,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,257
3-11-5-6,3.11.5.6,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,Reimburse Candidate on Per Diem Card,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,258
3-11-5-7,3.11.5.7,3.11.5,3,EXECUTION - Start Recruiting,4,Subtask,Prep Extensions,3.11,Prequalify Candidate for licensing (recruiter),Inherited,Operations Staffing,Admin Operations,Sales,Sales,Operations Staffing,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,259
3-12,3.12,3,3,EXECUTION - Start Recruiting,2,Process,Recomfirm Requested Staff Count & Title,3.12,Recomfirm Requested Staff Count & Title,Direct,Project Mgt,Operations Staffing,Sales,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,260
3-12-1,3.12.1,3.12,3,EXECUTION - Start Recruiting,3,Task,Price New or Modified Positions,3.12,Recomfirm Requested Staff Count & Title,Inherited,Project Mgt,Operations Staffing,Sales,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,261
3-12-2,3.12.2,3.12,3,EXECUTION - Start Recruiting,3,Task,Submit LOA for Extension,3.12,Recomfirm Requested Staff Count & Title,Inherited,Project Mgt,Operations Staffing,Sales,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,262
3-12-3,3.12.3,3.12,3,EXECUTION - Start Recruiting,3,Task,Update Recruiting Team w/Next Steps,3.12,Recomfirm Requested Staff Count & Title,Inherited,Project Mgt,Operations Staffing,Sales,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,263
3-12-4,3.12.4,3.12,3,EXECUTION - Start Recruiting,3,Task,Constant Contact Candidates w/Status,3.12,Recomfirm Requested Staff Count & Title,Inherited,Project Mgt,Operations Staffing,Sales,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,264
3-12-5,3.12.5,3.12,3,EXECUTION - Start Recruiting,3,Task,Prep Completed w/o Deployment,3.12,Recomfirm Requested Staff Count & Title,Inherited,Project Mgt,Operations Staffing,Sales,Sales,Project Management,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,265
3-13,3.13,3,3,EXECUTION - Start Recruiting,2,Process,Constant Contact Candidates,3.13,Constant Contact Candidates,Direct,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,266
3-13-1,3.13.1,3.13,3,EXECUTION - Start Recruiting,3,Task,Activate Red Light,3.13,Constant Contact Candidates,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,267
3-13-2,3.13.2,3.13,3,EXECUTION - Start Recruiting,3,Task,HC: Organize Orientation/Training Needs,3.13,Constant Contact Candidates,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,268
3-14,3.14,3,3,EXECUTION - Start Recruiting,2,Process,Online Training Modules,3.14,Online Training Modules,Direct,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,269
3-14-1,3.14.1,3.14,3,EXECUTION - Start Recruiting,3,Task,Unit Specific Training,3.14,Online Training Modules,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,270
3-14-2,3.14.2,3.14,3,EXECUTION - Start Recruiting,3,Task,Software Training Requirements,3.14,Online Training Modules,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,271
3-14-3,3.14.3,3.14,3,EXECUTION - Start Recruiting,3,Task,Respirator fit Test Requirements,3.14,Online Training Modules,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,272
3-14-4,3.14.4,3.14,3,EXECUTION - Start Recruiting,3,Task,12+ hr. Orientation Positions,3.14,Online Training Modules,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,273
3-14-5,3.14.5,3.14,3,EXECUTION - Start Recruiting,3,Task,Orientation Schedule / Workflow,3.14,Online Training Modules,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,274
3-14-6,3.14.6,3.14,3,EXECUTION - Start Recruiting,3,Task,Lodging Accommodation Plan,3.14,Online Training Modules,Inherited,Admin Operations,Operations Staffing,Project Mgt,Sales,Operations Field,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,275
3-15,3.15,3,3,EXECUTION - Start Recruiting,2,Process,Identify Locations,3.15,Identify Locations,Direct,Travel,Project Mgt,Operations Field,VP of Ops,Travel,Gate 3 - Staffing Pipeline Approved,Process Record,Not Started,Normal,Yes,276
3-15-1,3.15.1,3.15,3,EXECUTION - Start Recruiting,3,Task,Determine Single or Multiple Locations,3.15,Identify Locations,Inherited,Travel,Project Mgt,Operations Field,VP of Ops,Travel,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,277
3-15-2,3.15.2,3.15,3,EXECUTION - Start Recruiting,3,Task,Identify Local Accommodation,3.15,Identify Locations,Inherited,Travel,Project Mgt,Operations Field,VP of Ops,Travel,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,278
3-15-3,3.15.3,3.15,3,EXECUTION - Start Recruiting,3,Task,Review Brands,3.15,Identify Locations,Inherited,Travel,Project Mgt,Operations Field,VP of Ops,Travel,Gate 3 - Staffing Pipeline Approved,Checklist Item,Not Started,Normal,Yes,279
